Vote,Date,VoteNumber,VoteTitle,ResultFor,ResultAgainst,ResultAbstention
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/117,2019-01-16,117,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 110,163,277,230
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/118,2019-01-16,118,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 53S,63,574,37
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/119,2019-01-16,119,A8-0475/2018 -  Norbert Lins et  Bart Staes - Résolution,526,66,72
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/120,2019-01-16,120,A8-0441/2018 -  Peter Kouroumbashev - Vote unique,494,35,32
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/121,2019-01-16,121,A8-0459/2018 -  Reimer Böge - Vote unique,429,42,98
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/122,2019-01-16,122,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 1PC4S,266,323,8
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/123,2019-01-16,123,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 29,118,493,7
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/124,2019-01-16,124,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 30,126,494,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/125,2019-01-16,125,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 31,130,496,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/126,2019-01-16,126,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 32,110,510,10
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/127,2019-01-16,127,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 7PC1,120,495,19
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/128,2019-01-16,128,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 1PC12,334,278,25
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/129,2019-01-16,129,"A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 7PC2=1PC13=15PC2=
",546,40,47
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/130,2019-01-16,130,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 7PC3=1PC14=15PC3=,390,225,19
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/131,2019-01-16,131,A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 7PC4=1PC15=15PC4=,344,220,73
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/132,2019-01-16,132,"A8-0482/2018 -  José Manuel Fernandes et  Roberto Gualtieri - Am 7PC5=1PC16=15PC5=
",585,35,18
