?committee	?targetTranslationLanguage	?averageTranslationDurationInDays
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/CES>	27.166666666666666666666667
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/POL>	27.166666666666666666666667
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/ENG>	27.0
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/LAV>	27.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/CES>	27.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/DAN>	27.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/DEU>	27.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/ELL>	27.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/LAV>	27.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/MLT>	27.0
<http://data.europarl.europa.eu/resource/org/C11-4967>	<http://publications.europa.eu/resource/authority/language/CES>	26.9
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/DAN>	26.833333333333333333333333
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/DEU>	26.833333333333333333333333
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/ELL>	26.833333333333333333333333
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/HUN>	26.833333333333333333333333
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/CES>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/DAN>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/DEU>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/EST>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/HRV>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/HUN>	26.8
